hp_id,time_consumed,is_sparse,ev_1,ev_2,ev_3,ev_4,ev_5,ev_6,ev_7,ev_8,ev_9,ev_10,ev_std_1,ev_std_2,ev_std_3,ev_std_4,ev_std_5,ev_std_6,ev_std_7,ev_std_8,ev_std_9,ev_std_10,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_std_2,t_std_3,t_std_4,t_std_5,t_std_6,t_std_7,t_std_8,t_std_9,t_std_10,t_std_11,vamp2_2,vamp2_3,vamp2_4,vamp2_5,vamp2_6,vamp2_7,vamp2_8,vamp2_9,vamp2_10,vamp2_11,vamp2_std_2,vamp2_std_3,vamp2_std_4,vamp2_std_5,vamp2_std_6,vamp2_std_7,vamp2_std_8,vamp2_std_9,vamp2_std_10,vamp2_std_11
1,159.76359367370605,True,0.9999999999999905,0.9999975673966339,0.999992863493529,0.9999856683217975,0.9999512378274132,0.9999444114985587,0.9999349205338711,0.9998665186205536,0.9998621529721026,0.9998309590282367,1.762424413785662e-16,1.7102993971827054e-06,3.1542416483963234e-06,5.859518419579535e-06,9.94838656274317e-06,1.322409822338355e-05,1.6227619877576144e-05,2.237737687663527e-05,3.601685500200559e-05,4.4287374941517495e-05,1010754372.9332911,2639811.746309376,848385.5305462066,374852.9609562149,262198.62841893546,141031.89205784324,110283.89963651875,80949.52648599702,62565.5096266411,47720.66186316388,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9999909343270472,2.999952975131146,3.9997075253709187,4.99943338973189,5.998701513581791,6.997886199617675,7.996866025391409,8.995675245561863,9.994789778966847,10.992418244556161,0.12352339997240493,0.124342100230693,0.12475503487241726,0.12484700674691017,0.12458597654958926,0.12470991207928128,0.12623885795655013,0.12581862977159552,0.12567439572326913,0.12557027198257512
2,179.70257353782654,True,0.9999999999999598,0.999998582677647,0.9999977362400386,0.999993297261073,0.9999531240690518,0.9999384616170517,0.999923291202841,0.9999169021744834,0.9998643413247739,0.9998167539628706,3.7468999082715294e-16,3.865343749039857e-07,7.003309570007493e-07,1.383980283728681e-06,8.664713128838986e-06,1.227106945037031e-05,1.6140401741129375e-05,2.2073796284474986e-05,2.7300121405107626e-05,3.370611060454666e-05,67678579202.09323,124938771.86463514,13362243.965844529,4703956.411055189,1136729.0164429552,337779.14768470725,239076.39476535207,189100.11441554283,138622.92132314708,104547.58937849056,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9999910537339785,2.999949335559014,3.9995926039382463,4.999241396907931,5.998168344919285,6.997189271832115,7.995023912694211,8.992637212880222,9.99143136928388,10.989668905042995,0.07351862872835893,0.07463321656745497,0.07490087930940341,0.07510214551569223,0.07563428160901732,0.07593991470100622,0.07608815698959448,0.07625011986339623,0.07687527216001122,0.07703710627776172
3,208.9769217967987,True,1.0000000000000286,0.9999999405744793,0.9999997829133828,0.9999984912355713,0.999972176881565,0.9999495780027222,0.9999217411773084,0.9999021470570303,0.9998950617598621,0.9998668762716121,7.711855592701269e-16,1.6212162022754123e-08,1.1154950460298119e-07,2.8112435953049716e-07,9.124437392972616e-06,1.3672181452059785e-05,1.8032373613741273e-05,2.9975940263434502e-05,3.4938512981320586e-05,4.2367585884705344e-05,,59654770000.00603,678566925.1813594,318409825.2934347,26178408.230364364,3143473.1439674026,1658603.4941570691,966365.2017590039,416431.4283087954,279082.24678954924,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.999990969058729,2.999944594605723,3.9995361727989716,4.998789060012107,5.9968698386129295,6.993550480839003,7.990512850578454,8.988945458385686,9.986864953665872,10.979958007007532,0.042411175928685714,0.04458473140662445,0.045347867263846216,0.04698770381097835,0.04778117959102426,0.04788032208496154,0.048279026101144866,0.049102662944707574,0.04927060454382323,0.04976360941362212
4,202.87463426589966,True,0.999999999999995,0.9999999984497341,0.9999999951121439,0.9999999074100139,0.9999976582990278,0.9999827491924527,0.9999707811658429,0.9999610464534158,0.9999469034043086,0.9998801355065795,1.1507824488754481e-15,3.3138583280001797e-10,3.0720229776409065e-09,3.156532135106753e-08,3.4926029624470507e-07,2.11298728186206e-06,6.653068932380676e-06,9.19677836166677e-06,1.3588221891494912e-05,3.20027930799247e-05,,128587306181635.48,867753000363.5278,17794396588.604404,1570513184.8551352,560452910.9281616,176467327.01407474,36174377.68156665,7841853.509874073,2416085.592831481,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9999908866949891,2.9999415263985263,3.9993935645907657,4.998114411044521,5.995666590042184,6.988322377082287,7.982329225414684,8.977932336884137,9.975792742463367,10.974845805231277,0.0471503777307712,0.05214220274884875,0.05566711917465755,0.05919937317538076,0.06023902987132883,0.06217355073202115,0.06405369988201431,0.06529127863795424,0.06694198893258527,0.06880023268434628
5,114.47470164299011,True,1.0000000000000413,0.9999999999904825,0.9999999999748697,0.999999925281849,0.9999997789363761,0.9999986236324109,0.9999971044104171,0.999995200339946,0.9999731551996062,0.9999618461336732,1.0982793942752014e-15,2.0056088891437623e-12,5.4261442031297193e-11,2.579990187592292e-08,1.1779785695890411e-07,4.6573664289814396e-07,9.821122632718144e-07,1.5188487326075421e-06,2.437968812024987e-06,1.1176451552926543e-05,,,,91206276448163.06,23304616497617.715,6144593750.370083,3507850379.458979,81982589.8897913,67972954.34423149,32418070.984310623,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.999990725240478,2.999939479163985,3.9992501035169163,4.995609012873787,5.993595320334752,6.980186273314508,7.978789027888409,8.964811154101941,9.961881916318836,10.935597722592624,0.07365046358349242,0.08172904320770802,0.09070771466417121,0.09865700821378806,0.10246621271540664,0.10343005925545504,0.1022755342679558,0.10319466490832477,0.10770133322691912,0.10858776380421856
6,-1.0,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,-1.0,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
