hp_id,datasets,features,dt_out,time_cutoff,tica_lag_time,tica_stride,tica_dim,tica_kinetic_map,cluster_n,cluster_stride,cluster_max_iter,seed,markov_lag_time,markov_count_mode,markov_count_prior,msm_mode
1,abl-pdb-1ns,dbdist dbdihed achelix aloop,1,100,1,1000,20,TRUE,1000,1000,1000,42,10,effective,True,bayesian
2,abl-pdb-1ns,dbdist dbdihed achelix aloop,1,100,1,1000,20,TRUE,1000,1000,1000,42,20,effective,True,bayesian
3,abl-pdb-1ns,dbdist dbdihed achelix aloop,1,100,1,1000,20,TRUE,1000,1000,1000,42,50,effective,True,bayesian
4,abl-pdb-1ns,dbdist dbdihed achelix aloop,1,100,1,1000,20,TRUE,1000,1000,1000,42,100,effective,True,bayesian
