hp_id,time_consumed,is_sparse,ev_1,ev_2,ev_3,ev_4,ev_5,ev_6,ev_7,ev_8,ev_9,ev_10,ev_std_1,ev_std_2,ev_std_3,ev_std_4,ev_std_5,ev_std_6,ev_std_7,ev_std_8,ev_std_9,ev_std_10,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_std_2,t_std_3,t_std_4,t_std_5,t_std_6,t_std_7,t_std_8,t_std_9,t_std_10,t_std_11,vamp2_2,vamp2_3,vamp2_4,vamp2_5,vamp2_6,vamp2_7,vamp2_8,vamp2_9,vamp2_10,vamp2_11,vamp2_std_2,vamp2_std_3,vamp2_std_4,vamp2_std_5,vamp2_std_6,vamp2_std_7,vamp2_std_8,vamp2_std_9,vamp2_std_10,vamp2_std_11
1,1033.4758808612823,False,1.000000000000053,0.9999032596187113,0.999802592344832,0.9995519272948806,0.9993347915413832,0.9992401560674863,0.9983613562744876,0.9957273416857061,0.9883005264158772,0.9855974472101565,1.2758873122785658e-15,1.251705891946606e-05,7.85762164570877e-05,1.9716660710117496e-05,7.512405393322339e-05,8.549146730509749e-05,6.4490261214585e-05,0.0001648091324279156,0.00033770981227651444,0.0004816061399072278,4864.331742269172,9392.704852300983,664.9849954781628,1373.3175195008325,1199.4871581173443,214.20819080336256,86.54185350894338,24.50255115372108,23.291329881159033,21.438064507918433,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9998833772400724,2.9998824379967144,3.999148691207774,4.998363365875637,5.998203781686608,6.994953985658827,7.984874006978444,8.954305583997993,9.924309958501494,10.894283294898496,0.00012008539680080787,0.00023808145215919313,0.00018526577835899618,0.0003570822993700321,0.00023038768475974674,0.0002278281665009076,0.0002868939383500875,0.0019845517546055796,0.0023486978604662376,0.0016251457488313755
2,1027.050166606903,False,1.0000000000000406,0.9998947429004412,0.999794223138343,0.9994921009419161,0.9992889786206387,0.9991831265296219,0.9981235710103341,0.9951638724227121,0.9862868319796767,0.9819133836367245,7.171903248841188e-16,9.990727366555813e-06,6.617971736564444e-05,2.2150007349370708e-05,9.728374400067058e-05,0.0001464667849962122,6.686463212598298e-05,0.0001434021061454103,0.000318784670284754,0.0004716682788677439,7064.4415091059145,11462.105507206175,1208.6677278573547,3350.741352567406,3135.1955023997884,347.5159276188052,121.0030972367584,33.805500628383044,29.697447071234564,25.17355160887731,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9998706329868816,2.999869560091293,3.9990233750732562,4.998628634544309,5.997977192305878,6.994197785121597,7.982217451061951,8.950767092234175,9.914667129308024,10.872005561507475,0.0001158869361667671,0.0001984406970252755,0.0002093887788623335,0.00041997127890075356,0.0002173651288966029,0.00022229773239729273,0.00028049911467712904,0.001953833883364967,0.002070631871633081,0.0022681943771591835
3,977.2987530231476,False,0.9999999999999865,0.9998647227259507,0.9997225866445516,0.999427873624872,0.9993325531002403,0.9990065496441408,0.9973838929444241,0.993788909545174,0.9815004265553917,0.9765301216288113,7.201060933406788e-16,1.291422203546021e-05,8.644028556598855e-05,7.132660162292108e-05,3.357023548662998e-05,0.00018518597331616512,7.712630083803906e-05,0.00016085530161770114,0.00047184669797970517,0.0006169526037369836,15032.306232607922,27969.777378876766,9035.512013633854,2871.5357078889624,8726.008462181762,526.2497738320535,208.69198140729068,68.09336582675779,56.28556045304415,31.976264651770784,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9998161377808226,2.99981439149298,3.9990588775128217,4.998695612527415,5.9978452926863115,6.992563098123694,7.9777285130705335,8.936152045902798,9.888796169574414,10.817244586295253,0.00010485736674655232,0.00015568840874121345,0.00046353438796627655,0.00038617249138021424,0.00026219875247530575,0.00026570514530658814,0.00028696537244980535,0.0023355163780665452,0.0003270007786346999,0.002190145191446457
4,899.3889479637146,False,0.9999999999999698,0.9998517080173012,0.9996966635563255,0.9993660008817418,0.9991926364333031,0.9988837355878353,0.9967970077618372,0.991473352857047,0.9764286942266827,0.9707105802622139,5.724919686913016e-16,1.5250928367767001e-05,8.754317704897976e-05,7.767793056363298e-05,4.7351765329154497e-05,0.0001556198219087591,0.00012960040225634226,0.00021861189270378902,0.0005505842825794774,0.0006748515736196856,29088.453711519018,41295.77174235465,13475.737688423113,6070.592226655597,12609.148832016326,1188.8262997508066,294.6973229577189,98.72444178707059,77.04570587754179,33.28514266050322,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9998034406568548,2.999801473042765,3.9996833321210796,4.998470244442429,5.99753663421344,6.991338831906618,7.973653687271539,8.915381693462445,9.86531676434894,10.777618015442785,0.0001388145032125049,0.00030316238965275716,0.0005548940626587781,0.00044290439342020325,0.0003101892679856509,0.00031584635518338433,0.0003503009094368328,0.0036205609328941236,0.0003992017686110126,0.0004553780297322477
